delEtabin: 2   delPhiBin: 1
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 10
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 11
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 12
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 13
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 14
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 15
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 15
